Model/LLM,Simple,Medium,Complex,Overall,Input Tkn,Output Tkn,Tokens,Est. Cost,Exec Time
Manual Prompt Chain + DANKE,,,,,,,,,
SQLCoder,0.42,0.39,0.21,0.34,,,,,
SQLQueryChain,0.82,0.61,0.35,0.59,"595,825","3,642","599,467",$1.80,0:01:50
SQLQueryChain - with samples,0.73,0.64,0.38,0.58,"811,725","2,442","814,167",$2.44,0:02:27
SQLDatabaseSequentialChain,0.61,0.36,0.24,0.4,"75,291","3,297","78,588",$0.12,0:01:44
SQLDatabaseSequentialChain - with samples,0.64,0.42,0.24,0.43,"65,688","3,424","69,112",$0.11,0:01:43
SQL Database Agent,0.55,0.39,0.18,0.37,,,,,0:04:52
SQL Database Agent - with samples,0.55,0.48,0.21,0.48,,,,,0:06:40
DIN,,,,,,,,,
C3,0.76,0.36,0.27,0.46,"177,696","448,447","626,143",$1.16,2:44:42
C3 + DIN,,,,,,,,,
Few-Shot + SQLQueryChain - with samples,0.8,0.67,0.67,0.7,"124,227",508,"124,735",$0.46,0:00:19
Few-Shot50 + SQLQueryChain - with samples,0.71,0.65,0.56,0.64,"310,284","1,531","311,815",$0.94,0:01:19
Mschema + SQLQueryChain - with samples,0.76,0.61,0.41,0.59,"1,561,725","3,539","1,565,264",$4.70,0:06:19
C3Plus,0.79,0.48,0.26,0.51,"2,157,185","390,062","2,547,247",$8.03,1:14:48
